_id,ID,Count,Temp,Hum,timestamp
666709f1a1b633cd774214ab,185,244,29.75,54.7,2024-06-10T17:13:05.000Z
666709faa1b633cd774214ac,246,244,30.62,54.1,2024-06-10T17:13:14.000Z
66670a05a1b633cd774214ad,185,245,29.76,54.76,2024-06-10T17:13:25.000Z
66670a0ea1b633cd774214ae,246,245,30.62,53.97,2024-06-10T17:13:34.000Z
66670a36a1b633cd774214af,246,247,30.62,54.19,2024-06-10T17:14:14.000Z
66670a4aa1b633cd774214b0,246,248,30.62,54.19,2024-06-10T17:14:34.000Z
66670a5ea1b633cd774214b1,246,249,30.63,54.26,2024-06-10T17:14:54.000Z
66670a69a1b633cd774214b2,185,250,29.75,54.92,2024-06-10T17:15:05.000Z
66670a7da1b633cd774214b3,185,251,29.72,55.1,2024-06-10T17:15:25.000Z
66670a92a1b633cd774214b4,185,252,29.72,55.1,2024-06-10T17:15:46.000Z
66670ab9a1b633cd774214b5,185,254,29.7,55.1,2024-06-10T17:16:25.000Z
66670ac2a1b633cd774214b6,246,254,30.59,54.41,2024-06-10T17:16:34.000Z
66670acda1b633cd774214b7,185,255,29.72,55.23,2024-06-10T17:16:45.000Z
66670ad6a1b633cd774214b8,246,255,30.59,54.7,2024-06-10T17:16:54.000Z
66670ae1a1b633cd774214b9,185,256,29.69,55.32,2024-06-10T17:17:05.000Z
66670aeaa1b633cd774214ba,246,256,30.65,54.41,2024-06-10T17:17:14.000Z
66670af5a1b633cd774214bb,185,257,29.73,55.2,2024-06-10T17:17:25.000Z
66670b09a1b633cd774214bc,185,258,29.69,54.92,2024-06-10T17:17:45.000Z
66670b12a1b633cd774214bd,246,258,30.69,54.23,2024-06-10T17:17:54.000Z
66670b1da1b633cd774214be,185,259,29.72,55.2,2024-06-10T17:18:05.000Z
66670b26a1b633cd774214bf,246,259,30.68,54.26,2024-06-10T17:18:14.000Z
66670b31a1b633cd774214c0,185,260,29.7,55.4,2024-06-10T17:18:25.000Z
66670b3aa1b633cd774214c1,246,260,30.68,54.29,2024-06-10T17:18:34.000Z
66670b45a1b633cd774214c2,185,261,29.7,55.2,2024-06-10T17:18:45.000Z
66670b4ea1b633cd774214c3,246,261,30.68,54.19,2024-06-10T17:18:54.000Z
66670b59a1b633cd774214c4,185,262,29.69,55.7,2024-06-10T17:19:05.000Z
66670b62a1b633cd774214c5,246,262,30.68,54.13,2024-06-10T17:19:14.000Z
66670b6da1b633cd774214c6,185,263,29.73,55.38,2024-06-10T17:19:25.000Z
66670b76a1b633cd774214c7,246,263,30.72,54.51,2024-06-10T17:19:34.000Z
66670b81a1b633cd774214c8,185,264,29.79,55.42,2024-06-10T17:19:45.000Z
66670b8aa1b633cd774214c9,246,264,30.69,54.45,2024-06-10T17:19:54.000Z
66670b95a1b633cd774214ca,185,265,29.8,55.1,2024-06-10T17:20:05.000Z
66670b9ea1b633cd774214cb,246,265,30.68,54.3,2024-06-10T17:20:14.000Z
66670ba9a1b633cd774214cc,185,266,29.83,55.4,2024-06-10T17:20:25.000Z
66670bb2a1b633cd774214cd,246,266,30.7,54.29,2024-06-10T17:20:34.000Z
66670bbda1b633cd774214ce,185,267,29.83,54.92,2024-06-10T17:20:45.000Z
66670bd1a1b633cd774214cf,185,268,29.88,55.4,2024-06-10T17:21:05.000Z
66670be5a1b633cd774214d0,185,269,29.9,54.88,2024-06-10T17:21:25.000Z
66670bf9a1b633cd774214d1,185,270,29.9,54.88,2024-06-10T17:21:45.000Z
66670c02a1b633cd774214d2,246,270,30.69,54.26,2024-06-10T17:21:54.000Z
66670c0da1b633cd774214d3,185,271,29.93,5,2024-06-10T17:22:05.000Z
66670c16a1b633cd774214d4,246,271,30.66,54.32,2024-06-10T17:22:14.000Z
66670c2aa1b633cd774214d5,246,272,30.66,54.32,2024-06-10T17:22:34.000Z
66670c35a1b633cd774214d6,185,273,29.91,54.82,2024-06-10T17:22:45.000Z
66670c3ea1b633cd774214d7,246,273,30.68,54.38,2024-06-10T17:22:54.000Z
66670c49a1b633cd774214d8,185,274,29.93,55.1,2024-06-10T17:23:05.000Z
66670c52a1b633cd774214d9,246,274,30.69,54.73,2024-06-10T17:23:14.000Z
66670c5da1b633cd774214da,185,275,29.94,55.13,2024-06-10T17:23:25.000Z
66670c71a1b633cd774214db,185,276,29.98,54.95,2024-06-10T17:23:45.000Z
66670c7aa1b633cd774214dc,246,276,30.66,54.32,2024-06-10T17:23:54.000Z
66670c85a1b633cd774214dd,185,277,29.94,54,2024-06-10T17:24:05.000Z
66670c8ea1b633cd774214de,246,277,30.69,54.19,2024-06-10T17:24:14.000Z
